iter	Passed	Remaining
0	86	86484
1	87	43522
2	87	29170
3	88	21994
4	88	17690
5	89	14820
6	90	12772
7	90	11228
8	91	10036
9	91	9076
10	92	8293
11	92	7635
12	93	7084
13	93	6613
14	94	6203
15	94	5840
16	95	5520
17	95	5234
18	96	4978
19	96	4750
20	97	4542
21	97	4352
22	98	4181
23	98	4024
24	99	3877
25	99	3742
26	100	3618
27	100	3502
28	101	3395
29	101	3296
30	102	3201
31	102	3112
32	103	3029
33	103	2949
34	104	2876
35	104	2806
36	105	2740
37	105	2679
38	106	2619
39	106	2563
40	107	2509
41	107	2458
42	108	2411
43	108	2365
44	109	2323
45	109	2280
46	110	2240
47	111	2201
48	111	2164
49	111	2127
50	112	2093
51	113	2060
52	113	2031
53	114	2000
54	114	1970
55	115	1943
56	115	1917
57	116	1890
58	116	1865
59	117	1840
60	117	1815
61	118	1792
62	118	1769
63	119	1747
64	120	1726
65	120	1705
66	121	1685
67	121	1663
68	121	1645
69	122	1626
70	122	1609
71	123	1591
72	124	1574
73	124	1557
74	125	1541
75	125	1526
76	126	1511
77	126	1496
78	127	1481
79	127	1466
80	128	1452
81	128	1440
82	129	1429
83	129	1416
84	130	1403
85	130	1391
86	131	1377
87	131	1366
88	132	1354
89	132	1343
90	133	1332
91	133	1320
92	134	1309
93	134	1299
94	135	1288
95	135	1278
96	136	1269
97	136	1259
98	137	1250
99	138	1242
100	138	1233
101	138	1223
102	139	1213
103	139	1204
104	140	1196
105	140	1187
106	141	1179
107	141	1170
108	142	1163
109	142	1155
110	143	1149
111	144	1141
112	144	1135
113	145	1128
114	145	1121
115	146	1113
116	146	1106
117	147	1100
118	147	1093
119	148	1086
120	148	1080
121	149	1074
122	149	1066
123	150	1061
124	150	1055
125	151	1049
126	151	1043
127	152	1036
128	152	1030
129	153	1026
130	153	1020
131	154	1015
132	154	1009
133	155	1004
134	155	999
135	156	994
136	157	989
137	157	983
138	158	979
139	158	974
140	159	969
141	159	964
142	160	959
143	160	954
144	161	950
145	161	945
146	162	940
147	162	936
148	163	931
149	163	928
150	164	924
151	164	920
152	165	916
153	166	913
154	166	909
155	167	905
156	167	900
157	168	897
158	168	893
159	169	889
160	169	885
161	170	881
162	170	877
163	171	874
164	172	871
165	172	867
166	173	864
167	173	861
168	174	857
169	174	854
170	175	850
171	176	847
172	176	843
173	176	840
174	177	836
175	178	833
176	178	830
177	179	827
178	179	824
179	180	820
180	180	816
181	180	812
182	181	809
183	181	806
184	182	802
185	182	799
186	183	796
187	183	792
188	184	789
189	184	786
190	185	783
191	185	781
192	186	778
193	186	775
194	187	772
195	187	769
196	188	766
197	188	764
198	189	761
199	189	758
200	190	756
201	190	753
202	191	750
203	191	748
204	192	745
205	192	742
206	193	740
207	193	737
208	194	734
209	194	732
210	195	729
211	195	727
212	196	724
213	196	722
214	197	719
215	197	717
216	198	714
217	198	712
218	199	710
219	199	707
220	200	705
221	200	703
222	201	701
223	201	698
224	202	696
225	202	694
226	203	692
227	204	690
228	204	688
229	205	686
230	205	684
231	206	682
232	206	680
233	207	678
234	207	676
235	208	674
236	208	672
237	209	670
238	209	668
239	210	666
240	210	664
241	211	662
242	211	660
243	212	658
244	212	656
245	213	654
246	214	652
247	214	650
248	215	648
249	215	646
250	216	644
251	216	642
252	217	640
253	217	638
254	217	636
255	218	635
256	219	633
257	219	631
258	220	630
259	220	628
260	221	626
261	221	624
262	222	622
263	222	621
264	223	619
265	223	617
266	224	615
267	224	613
268	225	612
269	225	610
270	226	608
271	226	606
272	227	605
273	227	603
274	228	601
275	228	599
276	229	598
277	229	596
278	230	595
279	230	593
280	231	591
281	231	590
282	232	588
283	232	587
284	233	585
285	233	583
286	234	582
287	234	580
288	235	579
289	235	577
290	236	576
291	236	574
292	237	572
293	237	571
294	238	569
295	238	568
296	239	566
297	240	565
298	240	563
299	241	562
300	241	560
301	241	559
302	242	557
303	242	556
304	243	554
305	243	553
306	244	551
307	244	550
308	245	548
309	245	547
310	246	545
311	246	544
312	247	543
313	247	541
314	248	540
315	248	538
316	249	537
317	250	536
318	250	534
319	251	533
320	251	532
321	252	530
322	252	529
323	253	528
324	253	527
325	254	525
326	254	524
327	255	523
328	255	521
329	256	520
330	256	519
331	257	518
332	258	517
333	258	515
334	259	514
335	259	513
336	260	512
337	260	510
338	261	509
339	261	508
340	262	506
341	262	505
342	263	504
343	263	503
344	264	502
345	264	500
346	265	499
347	265	498
348	266	496
349	266	495
350	267	494
351	268	493
352	268	492
353	268	490
354	269	489
355	269	488
356	270	487
357	270	485
358	271	484
359	271	483
360	272	482
361	272	481
362	273	479
363	273	478
364	274	477
365	274	476
366	275	474
367	275	473
368	276	472
369	276	471
370	277	470
371	278	469
372	278	468
373	279	467
374	279	465
375	280	464
376	280	463
377	281	462
378	281	461
379	282	460
380	283	459
381	283	458
382	284	457
383	284	456
384	285	455
385	285	454
386	286	453
387	286	452
388	287	451
389	287	450
390	288	449
391	288	448
392	289	446
393	289	445
394	290	444
395	290	443
396	291	442
397	291	441
398	292	440
399	293	439
400	293	438
401	294	437
402	294	436
403	295	435
404	296	434
405	296	433
406	297	432
407	297	431
408	298	430
409	298	429
410	299	428
411	299	427
412	300	427
413	301	426
414	301	425
415	302	424
416	302	423
417	303	422
418	303	421
419	304	420
420	304	419
421	305	418
422	305	417
423	306	416
424	306	415
425	307	414
426	308	413
427	308	412
428	309	411
429	309	410
430	310	409
431	310	408
432	311	407
433	311	406
434	312	405
435	312	404
436	313	403
437	313	402
438	314	401
439	314	400
440	315	400
441	316	399
442	316	398
443	317	397
444	317	396
445	318	395
446	319	394
447	319	393
448	320	392
449	320	391
450	321	390
451	321	390
452	322	389
453	322	388
454	323	387
455	323	386
