iter	Passed	Remaining
0	107	107215
1	107	53838
2	108	36092
3	109	27271
4	110	21980
5	111	18441
6	111	15861
7	112	13922
8	112	12411
9	113	11204
10	113	10215
11	114	9389
12	114	8691
13	114	8098
14	115	7607
15	116	7166
16	117	6782
17	117	6430
18	118	6116
19	119	5838
20	119	5579
21	120	5343
22	120	5127
23	121	4927
24	121	4742
25	122	4575
26	122	4420
27	123	4275
28	123	4143
29	124	4018
30	124	3902
31	125	3792
32	125	3688
33	126	3591
34	126	3498
35	127	3412
36	127	3331
37	128	3252
38	128	3177
39	129	3107
40	130	3049
41	130	2987
42	131	2928
43	132	2870
44	132	2814
45	133	2760
46	133	2708
47	134	2659
48	134	2611
49	135	2566
50	135	2523
51	136	2481
52	136	2444
53	137	2406
54	137	2370
55	138	2334
56	139	2299
57	139	2266
58	140	2234
59	140	2202
60	141	2171
61	141	2140
62	141	2110
63	142	2083
64	142	2056
65	143	2029
66	144	2005
67	144	1982
68	145	1959
69	145	1936
70	146	1913
71	146	1891
72	147	1870
73	147	1849
74	148	1829
75	148	1809
76	149	1790
77	149	1770
78	150	1751
79	150	1732
80	151	1715
81	152	1704
82	152	1684
83	152	1668
84	153	1651
85	154	1636
86	154	1621
87	154	1606
88	155	1591
89	155	1576
90	156	1563
91	157	1550
92	157	1536
93	158	1523
94	158	1509
95	159	1498
96	159	1487
97	160	1475
98	160	1464
99	161	1452
100	161	1441
101	162	1431
102	163	1421
103	163	1410
104	164	1399
105	164	1388
106	165	1377
107	165	1366
108	165	1356
109	166	1347
110	167	1338
111	167	1328
112	168	1319
113	168	1310
114	169	1301
115	169	1293
116	170	1284
117	170	1275
118	171	1267
119	171	1259
120	172	1251
121	172	1242
122	173	1235
123	173	1228
124	174	1221
125	175	1214
126	175	1206
127	176	1199
128	176	1192
129	177	1185
130	177	1177
131	178	1170
132	178	1163
133	178	1156
134	179	1149
135	179	1142
136	180	1135
137	180	1128
138	181	1123
139	181	1117
140	182	1112
141	182	1104
142	183	1098
143	183	1092
144	184	1086
145	184	1080
146	185	1074
147	185	1068
148	185	1062
149	186	1056
150	186	1050
151	187	1045
152	187	1039
153	188	1033
154	188	1028
155	189	1024
156	189	1019
157	190	1014
158	190	1009
159	191	1004
160	191	998
161	192	993
162	192	988
163	192	983
164	193	978
165	193	973
166	194	969
167	194	964
168	195	959
169	195	954
170	196	951
171	196	947
172	197	943
173	197	938
174	198	934
175	198	929
176	199	925
177	199	921
178	199	917
179	200	912
180	200	908
181	201	904
182	201	900
183	202	896
184	202	892
185	203	889
186	203	885
187	204	882
188	204	879
189	205	876
190	206	872
191	206	869
192	207	866
193	207	863
194	208	860
195	208	856
196	209	853
197	209	850
198	210	846
199	210	843
200	211	841
201	212	838
202	212	835
203	213	832
204	213	829
205	214	825
206	214	822
207	215	819
208	215	816
209	216	813
210	216	810
211	217	807
212	217	805
213	218	802
214	219	800
215	219	797
216	220	794
217	220	791
218	221	788
219	221	785
220	222	783
221	222	780
222	223	777
223	223	774
224	224	771
225	224	768
226	224	765
227	225	762
228	225	760
229	226	757
230	226	755
231	227	752
232	227	750
233	228	747
234	228	745
235	229	742
236	229	739
237	230	736
238	230	734
239	231	731
240	231	728
241	231	726
242	232	723
243	232	721
244	233	718
245	233	716
246	234	714
247	234	712
248	235	710
249	235	707
250	236	705
251	236	702
252	237	700
253	237	697
254	238	695
255	238	693
256	238	690
257	239	688
258	239	686
259	240	683
260	240	681
261	241	679
262	241	677
263	242	675
264	242	673
265	243	671
266	243	668
267	244	666
268	244	664
269	244	662
270	245	660
271	245	657
272	246	655
273	246	653
274	247	651
275	247	649
276	247	647
277	248	645
278	249	643
279	249	641
280	249	639
281	250	637
282	250	635
283	251	633
284	251	631
285	252	629
286	252	627
287	252	625
288	253	623
289	253	621
290	254	619
291	254	617
292	255	615
293	255	613
294	255	611
295	256	610
296	257	608
297	257	606
298	257	604
299	258	602
300	258	601
301	259	599
302	259	597
303	260	595
304	260	593
305	261	592
306	261	590
307	261	588
308	262	586
309	262	584
310	263	582
311	263	581
312	264	580
313	264	578
314	265	577
315	265	575
316	266	574
317	266	572
318	267	570
319	267	568
320	268	567
321	268	565
322	269	563
323	269	562
324	269	560
325	270	558
326	270	557
327	271	555
328	271	554
329	272	553
330	272	551
331	273	550
332	273	548
333	274	547
334	274	545
335	275	544
336	275	542
337	276	540
338	276	539
339	277	537
340	277	536
341	277	534
342	278	533
343	278	531
344	279	530
345	279	529
346	280	527
347	280	526
348	281	524
349	281	523
350	282	521
351	282	520
352	283	518
353	283	517
354	283	515
355	284	514
356	284	512
357	285	511
358	285	509
359	286	508
360	286	507
361	287	506
362	287	504
363	288	503
364	288	502
365	289	500
366	289	499
367	289	497
368	290	496
369	290	495
370	291	493
371	291	492
372	292	491
373	292	489
374	293	488
375	293	487
376	293	485
377	294	484
378	294	483
379	295	481
380	295	480
381	296	479
382	296	477
383	297	476
384	297	475
385	298	474
386	298	472
387	299	471
388	299	470
389	300	469
390	300	468
391	301	467
392	301	466
393	302	465
394	303	464
395	303	463
396	304	461
397	304	460
398	305	459
399	305	458
400	306	457
401	306	455
402	307	454
